reference	university	journalTitle	authors	url	singlePubMed	prTitle	sampleChange	sampleJournal	samplePR	adviceExaggeration	adviceJournal	advicePR	causationExaggeration	causationJournal	causationPR	variableGeneralization	variablesJournal	variablesPR	cure
01-11-001	Birmingham    	The Nature of Gestures' Beneficial Role in Spatial Problem Solving	"Chu M,Kita S"	http://www.ncbi.nlm.nih.gov/pubmed/21299319	1	New Research Points to the Benefits of Being all Fingers and Thumbs 	0	1	1	0	1	1	0	6	6	0	Amount of hand gesturing/Performance on mental rotation problems	Hand Gestures/Performance on spatial visualisation problems	No
01-11-002	Birmingham    	Neutrophil function and cortisol:DHEAS ratio in bereaved older adults	"Khanfer R,Lord JM,Phillips AC"	http://www.ncbi.nlm.nih.gov/pubmed/21420485	0	Older bereaved 'die of broken immune system not broken heart' 	0	1	1	1	0	1	4	2	6	0	"emotional stress of bereavement, calculated through the Hospital Anxiety and Depression Scale/measurement of neutrophil superoxide production to E. Coli"	 emotional stress of bereavement/Neutrophil Bactericidal Activity	No
01-11-003	Birmingham    	Inappropriate 999 calls: an online pilot survey	"Kirkby HM,Roberts LM"	http://www.ncbi.nlm.nih.gov/pubmed/21343178	1	University research reveals public ignorance over non-emergency calls 	0	1	1	0	1	1	0	3	3	0	"12 common medical scenarios/participants decided the appropriateness of calling an ambulance, responding 'yes' or 'no' tp each of the 12 medical scenarios"	Medical scenarios/Whether respondants thought that an ambulance should be called	No
01-11-004	Birmingham    	The C-Terminal Domain of the Arabinosyltransferase Mycobacterium tuberculosis EmbC Is a Lectin-Like Carbohydrate Binding Module	"Alderwick LJ,Lloyd GS,Ghadbane H,May JW,Bhatt A,Eggeling L,Futterer K,Besra GS"	http://www.ncbi.nlm.nih.gov/pubmed/21383969	1	Birmingham pushes ahead on global scourge of TB 	0	6	-	0	0	0	0	Not mentioned	Not mentioned	-9	/Structural characterisation of the Emb Araf-transferases in M. tuberculosis	/Atomic make up/structure of enzyme EmbC	No
01-11-005	Birmingham    	Complete sequence and molecular epidemiology of IncK epidemic plasmid encoding blaCTX-M-14	"Cottell JL,Webber MA,Coldham NG,Taylor DL,Cerdeno-Tarraga AM,Hauser H,Thomson NR,Woodward MJ,Piddock LJ"	http://www.ncbi.nlm.nih.gov/pubmed/21470454	1	Birmingham Scientists create test to track global spread of antibiotic resistance	2	8	8	-1	1	0	0	Not mentioned	Not mentioned	-8	/pCT-like plasmids in animal and human isolates	/..global spread of carrier of antibiotic resistance..	No
01-11-006	Birmingham    	Early Reduction of Serum-Free Light Chains Associates with Renal Recovery in Myeloma Kidney	"Hutchison CA,Cockwell P,Stringer S,Bradwell A,Cook M,Gertz MA,Dispenzieri A,Winters JL,Kumar S,Rajkumar SV,Kyle RA,Leung N"	http://www.ncbi.nlm.nih.gov/pubmed/21511832	1	Research brings new hope of renal recovery for cancer patients 	0	1	1	0	0	0	4	2	6	0	FLC reduction/renal recovery	treatment threshold/renal recovery	No
01-11-007	Birmingham    	Trans-endocytosis of CD80 and CD86: a molecular basis for the cell extrinsic function of CTLA-4	"Qureshi OS,Zheng Y,Nakamura K,Attridge K,Manzotti C,Schmidt EM,Baker J,Jeffery LE,Kaur S,Briggs Z,Hou TZ,Futter CE,Anderson G,Walker LS,Sansom DM"	http://www.ncbi.nlm.nih.gov/pubmed/21474713	1	Birmingham scientists discover 'how to stop your immune system from killing you'	2	6	2	0	0	0	0	6	6	0	The CTLA-4 molecule/Autoimmunity suppression and immune homeostasis	CTLA-4/Aggressive behaviour of T-cells	No
01-11-008	Birmingham    	Focusing on food during lunch enhances lunch memory and decreases later snack intake	"Higgs S,Donohoe JE"	http://www.ncbi.nlm.nih.gov/pubmed/21569808	1	Remember your lunch if you want to avoid afternoon snack 	0	1	1	2	0	2	-1	6	5	0	enhancing meal memory by focusing attention on food/afternoon snack (count of the number of buscuits consumed)	focussing on eating lunch and paying great attention to the food/Afternoon snack	No
01-11-009	Birmingham    	A comparison of clinical officers with medical doctors on outcomes of caesarean section in the developing world: meta-analysis of controlled studies	"Wilson A,Lissauer D,Thangaratinam S,Khan KS,MacArthur C,Coomarasamy A"	http://www.ncbi.nlm.nih.gov/pubmed/21571914	1	Major analysis shows value of non-physician clinicians for maternal health in sub-Saharan Africa	0	1	1	0	1	1	0	1	1	0	clinical training/maternal or perinatal mortality in caesarean sections	clinical training/outcomes of caesarean section	No
01-11-010	Birmingham    	Long-term Risks of Subsequent Primary Neoplasms Among Survivors of Childhood Cancer	"Reulen RC,Frobisher C,Winter DL,Kelly J,Lancashire ER,Stiller CA,Pritchard-Jones K,Jenkinson HC,Hawkins MM"	http://www.ncbi.nlm.nih.gov/pubmed/21642683	0	Childhood cancer survivors at greater risk in middle age 	0	1	1	1	2	3	0	6	6	0	childhood cancer/subsequent primary neoplasms	childhood cancer/development of new cancer	No
01-11-011	Birmingham    	"Prevalence of psychiatric diagnoses in preterm and full-term children, adolescents and young adults: a meta-analysis"	"Burnett AC,Anderson PJ,Cheong J,Doyle LW,Davey CG,Wood SJ"	http://www.ncbi.nlm.nih.gov/pubmed/21733218	1	"Premature babies risk mental health problems, say experts "	0	1	1	-1	2	1	0	6	6	0	"children, adolescents or young adults born preterm/LBW/psychiatric diagnosis"	Premature or low birthweight babies/mental health problems	No
01-11-012	Birmingham    	Open-Source Genomic Analysis of Shiga-Toxin'Producing E. coli O104:H4	"Rohde H,Qin J,Cui Y,Li D,Loman NJ,Hentschke M,Chen W,Pu F,Peng Y,Li J,Xi F,Li S,Li Y,Zhang Z,Yang X,Zhao M,Wang P,Guan Y,Cen Z,Zhao X,Christner M,Kobbe R,Loos S,Oh J,Yang L,Danchin A,Gao GF,Song Y,Li Y,Yang H,Wang J,Xu J,Pallen MJ,Wang J,Aepfelbacher M,Yang R"	http://www.ncbi.nlm.nih.gov/pubmed/21793736	1	Social networking and crowdsourcing aid swift characterisation of deadly E. coli strain 	0	6	6	0	0	0	6	Not mentioned	6	0	Open source genomics/Evolutionary origins and pathogenic potential of the outbreak strain	Open source genomics analysis/Characterisation of E. coli	No
01-11-013	Birmingham    	Pulse oximetry screening for congenital heart defects in newborn infants (PulseOx): a test accuracy study	"Ewer AK,Middleton LJ,Furmston AT,Bhoyar A,Daniels JP,Thangaratinam S,Deeks JJ,Khan KS"	http://www.ncbi.nlm.nih.gov/pubmed/21820732	0	"Simple screening test identifies heart defects in newborns, say researchers "	0	1	1	1	1	2	0	6	6	0	pulse oxometry/the accuracy of detection of major congenital heart defects	pulse oximetry/identification of congenital heart defects	No
01-11-014	Birmingham    	Delays in assessment of patients with rheumatoid arthritis:  variations across Europe	"Raza K,Stack R,Kumar K,Filer A,Detert J,Bastian H,Burmester GR,Sidiropoulos P,Kteniadaki E,Repa A,Saxne T,Turesson C,Mann H,Vencovsky J,Catrina A,Chatzidionysiou A,Hensvold A,Rantapaa-Dahlqvist S,Binder A,Machold K,Kwiakowska B,Ciurea A,Tamborrini G,Kyburz D,Buckley CD"	http://www.ncbi.nlm.nih.gov/pubmed/21821867	1	Delays in specialist assessment of rheumatoid arthritis are too long	0	1	1	0	0	0	-2	2	Not mentioned	0	Components of delay/Delay	The contribution of patient and professional behaviours and health systems/Total delay	No
01-11-015	Birmingham    	"Enhancing the anti-lymphoma potential of 3,4-methylenedioxymethamphetamine ('ecstasy')through iterative chemical redesign: mechanisms and pathways to cell death "	"Wasik AM,Gandy MN,McIldowie M,Holder MJ,Chamba A,Challa A,Lewis KD,Young SP,Scheel-Toellner D,Dyer MJ,Barnes NM,Piggott MJ,Gordon J"	http://www.ncbi.nlm.nih.gov/pubmed/21850491	1	Modified Ecstasy holds promise as potent blood cancer treatment 	2	6	-	0	0	0	-2	6	4	0	MDMA and analogues with modified '-substituents/Cellular cytotoxicity/viability	modified MDMA/cancer killing properties	No
01-11-016	Birmingham    	Cost-effectiveness of options for the diagnosis of high blood pressure in primary care: a modelling study	"Lovibond K,Jowett S,Barton P,Caulfield M,Heneghan C,Hobbs FD,Hodgkinson J,Mant J,Martin U,Williams B,Wonderling D,McManus RJ"	http://www.ncbi.nlm.nih.gov/pubmed/21868086	1	University research shapes new NICE guidelines on bloodpressure	0	7	-	1	1	2	2	Not mentioned	2	-9	Three clinically relevant diagnostic options/	Diagnostic strategies/Clinical accuracy	No
01-11-017	Birmingham    	The unmet need for interpreting provision in UK primary care	"Gill PS,Beavan J,Calvert M,Freemantle N"	http://www.ncbi.nlm.nih.gov/pubmed/21695146	1	Translators needed in UK GP surgeries say researchers	0	1	1	1	1	2	0	Not mentioned	Not mentioned	-9	/The use of interpreting services	/Instances where professional interpreters were used	No
01-11-018	Birmingham    	Urine steroid metabolomics as a biomarker tool for detecting malignancy in adrenal tumors	"Arlt W,Biehl M,Taylor AE,Hahner S,Libe R,Hughes BA,Schneider P,Smith DJ,Stiekema H,Krone N,Porfiri E,Opocher G,Bertherat J,Mantero F,Allolio B,Terzolo M,Nightingale P,Shackleton CH,Bertagna X,Fassnacht M,Stewart PM"	http://www.ncbi.nlm.nih.gov/pubmed/21917861	1	University of Birmingham scientists develop urine test for cancer	0	8	8	0	0	0	0	6	6	0	Steroid metabolite excretion analysis by mass spectrometry/Detecting malignancy	Urine Test/The 'hormone fingerprint' of adrenal cancer	No
01-11-019	Birmingham    	Conditioned Tolerance to the Effects of Alcohol on Inhibitory Control in Humans	"Wang D,Toyofuku WM,Chen AM,Scott MD"	http://www.ncbi.nlm.nih.gov/pubmed/21885118	0	Research Explains Why People Get Drunk at the Office Party 	0	1	1	0	0	0	-1	6	5	0	alcohol vs placebo/number of false alarms in Go-No Go task	drinking alcohol/conditioned compensatory response	No
01-11-020	Birmingham    	"Adjunctive daily supplementation with encapsulated fruit, vegetable and berry juice powder concentrates and clinical periodontal outcomes: a double-blind RCT"	"Chapple IL,Milward MR,Ling-Mountford N,Weston P,Carter K,Askey K,Dallal GE,De Spirt S,Sies H,Patel D,Matthews JB"	http://www.ncbi.nlm.nih.gov/pubmed/22093005	1	Fruit and vegetable compound offers hope against gum disease 	0	1	1	0	0	0	3	3	6	0	Adjunctive phytonutrient supplement/Clinical outcomes	Capsules containing concentrated phytonutrients/Clinical outcomes following non-surgical peridontal therapy	No
01-11-021	Birmingham    	Behavioural memory reconsolidation of food and fear memories	"Flavell CR,Barber DJ,Lee JL"	http://www.ncbi.nlm.nih.gov/pubmed/22009036	1	Remembering to Forget: Destroying Bad Memories and Breaking Bad Habits 	2	4	-	1	0	1	0	6	6	0	reactivation and extinction/memory extinction	brief memory retrieval and extended cue exposure/disruption of memories	No
01-11-022	Birmingham    	Men's experience of erectile dysfunction after treatment for colorectal cancer: qualitative interview study	"Dowswell G,Ismail T,Greenfield S,Clifford S,Hancock B,Wilson S"	http://www.ncbi.nlm.nih.gov/pubmed/22010127	0	Male bowel cancer patients 'unprepared' for erectile dysfunction 	0	1	1	-2	2	0	-3	6	3	0	Men treated for colorectal cancer/Erectile dysfunction	Bowel cancer/Erectile dysfunction after treatment	No
