Reference	JournalTitle	PRTitle	Sample_journal	Sample_PR
01-11-005	Complete sequence and molecular epidemiology of IncK epidemic plasmid encoding blaCTX-M-14	Birmingham Scientists create test to track global spread of antibiotic resistance	8: Humans and Animals	8: Humans and Animals
01-11-007	Trans-endocytosis of CD80 and CD86: a molecular basis for the cell extrinsic function of CTLA-4	Birmingham scientists discover 'how to stop your immune system from killing you'	6: CHO cells expressing CD86-GFP from humans and mice	2: You
01-11-015	Enhancing the anti-lymphoma potential of 3,4-methylenedioxymethamphetamine (ecstasy)through iterative chemical redesign: mechanisms and pathways to cell death 	Modified Ecstasy holds promise as potent blood cancer treatment 	6: Cell lines deriving from different B-cell malignancies and variants of the L3055 BL cell line	-9: 
01-11-021	Behavioural memory reconsolidation of food and fear memories	Remembering to Forget: Destroying Bad Memories and Breaking Bad Habits 	4: rats	-9: 
02-11-013	Associations of circulating and dietary vitamin D with prostate cancer risk: a systematic review and doseresponse meta-analysis 	No link between Vitamin D levels and prostate cancer	1: prostate cancer cases and controls	1: men
02-11-015	Wnt4/-Catenin Signaling Induces VSMC Proliferation and Is Associated With Intimal Thickening	New research could help in the treatment of cardiovascular disease	4: TOPgal transgenic mice containing the TOPFLASH reporter	8: in vivo
02-11-019	A142 inhibition of LTP is mediated by a signaling pathway involving caspase-3, Akt1 and GSK-3	Bristol scientists uncover how culprit Alzheimer's protein wreaks havoc	6: organotypic hippocampal slice cultures from rats and mice	6: Nerve Cells
02-11-031	When Is the Hippocampus Involved in Recognition Memory?	Have we met before? Scientists show why the brain has the answer	4: male pigmented rats	1: people (we)
02-11-033	Oxygen/Glucose Deprivation Induces a Reduction in Synaptic AMPA Receptors on Hippocampal CA3 Neurons Mediated by mGluR1 and Adenosine A3 Receptors 	New research reveals brains natural protection mechanism during stroke	6: Transverse hippocampal slices from male juvenile Wistar rats	-9: 
02-11-034	Transplantation of Human Pericyte Progenitor Cells Improves the Repair of Infarcted Heart Through Activation of an Angiogenic Program Involving Micro-RNA-132 	Mural cells from saphenous vein could have long-term benefits in heart attacks	4: Mouse model	1: Human veins
02-11-038	A Syndecan-4 Hair Trigger Initiates Wound Healing through Caveolin- and RhoG-Regulated Integrin Endocytosis	Biochemists identify how tissue cells detect and perfect 	4: Mice	6: Tissue cells
02-11-041	A New Methodological Sequence to Expand and Transdifferentiate Human Umbilical Cord Blood Derived CD133+ Cells into a Cardiomyocyte-like Phenotype	Stem cells from cord blood could help repair damaged heart muscle	6: Stem cells	1: People
02-11-047	Processing of central and reflex vagal drives by rat cardiac ganglion neurones:  An intracellular analysis	Scientists identify area that could sever communication between brain and heart in disease	4: Working heart-brainstem preparations from Wistar rats	2: implicitly humans (death from heart failure)
02-11-050	Induction of Activity-Dependent LTD Requires Muscarinic Receptor Activation in Medial Prefrontal Cortex	Scientists provide potential explanation for mechanisms of associative memory 	6: rat mPFC, whole-cell voltage-clamp recordings 	2: imlpicitly humans (Alzheimers)
03-11-002	Paternal MHC expression on mouse trophoblast affects uterine vascularization and fetal growth	Immune interaction optimises foetal nourishment during pregnancy 	4: Mice of inbred strains BALB/cAnNCrl and C57BL/6J (B6) and their reciprocal intercrosses	2: implicitly humans (pregnancy)
03-11-009	Stat3 controls lysosomal-mediated cell death in vivo	New cell death mechanism has implications for breast cancer treatments 	4: Stat3fl=flIBLG-Cre mice and normal mice	8: mammalian organisms
03-11-025	The transcription factor FOXM1 is a cellular target of the natural product thiostrepton	Scientists discover how antibiotic molecule found in bacteria stops breast cancer 	6: MCF-7 cells	-9: 
03-11-027	Genetic risk and a primary role for cell-mediated immune mechanisms in multiple sclerosis	Number of genes associated with MS doubles	1: Cases and controls were drawn from populations with European ancestry	-9: 
03-11-028	HCN2 Ion Channels Play a Central Role in Inflammatory and Neuropathic Pain	Gene that controls chronic pain identified 	4: Mice	2: Chronic pain (implicilty humans)
03-11-032	Inhibition of BET recruitment to chromatin as an effective treatment for MLL-fusion leukaemia	Scientists demonstrate potential new treatment for most common form of infant leukaemia 	8: cell lines in vitro, murine models in vivo	1: children
03-11-040	Activation of Central Orexin/Hypocretin Neurons by Dietary Amino Acids	3pm slump? Why a sugar rush may not be the answer 	8: mice and brain tissue	1: us
03-11-044	A novel neuroprotective therapy for Parkinson's disease using a viral noncoding RNA that protects mitochondrial complex I activity	Search and rescue:  scientists identify a novel therapy with potential for treating Parkinson's disease	8: U373 glioblastoma cells and Sprague-Dawley rats	2: Parkinson's disease
04-11-003	Calmodulin protects against alcohol-induced pancreatic trypsinogen activation elicited via Ca2+ release through IP3 receptors	Protein could be used to treat alcohol effects on pancreas	6: intact or two-photon permeabilized pancreatic acinar cells from normal WT mice or from mice in which IP3Rs of type 2or both types 2 and 3were knocked out,	1: people
04-11-005	Enacyloxins are products of an unusual hybrid modular polyketide synthase encoded by a cryptic burkholderia ambifaria genomic island	Cystic fibrosis bacteria could help fightback against antibiotic resistance	6: Burkholderia bacteria	1: People
05-11-007	Host Defense against Viral Infection Involves Interferon Mediated Down-Regulation of Sterol Biosynthesis	Curbing cholesterol could combat infections	6: cells	2: body's (implicitly human)
05-11-008	Novel Fat DepotSpecific Mechanisms Underlie Resistance to Visceral Obesity and Inflammation in 11-Hydroxysteroid Dehydrogenase Type 1Deficient Mice 	Study shapes understanding of body fat 	4: mice	1: some people
05-11-009	A Critical Role for Neurofascin in Regulating Action Potential Initiation through Maintenance of the Axon Initial Segment	Study sheds light on brain signalling	4: Transgenic mice	2: implicitly human (dementia)
05-11-011	11beta-hydroxysteroid dehydrogenase type 1 deficiency prevents memory deficits with aging by switching from glucocorticoid receptor to mineralocorticoid receptor-mediated cognitive control.	Study sheds light on memory loss	4: mice	1: older people 
05-11-012	ApoE isoform-specific regulation of regeneration in the peripheral nervous system 	Gene find could aid nerve repair 	4: transgenic mice	1: person
05-11-019 	Length-Dependent Retention of Carbon Nanotubes in the Pleural Space of Mice Initiates Sustained Inflammation and Progressive Fibrosis on the Parietal Pleura 	Nanotubes pose health risk, study shows	4: female C57Bl/6 mice	1: workers
05-11-020	Schema-Dependent Gene Activation and Memory Encoding in Neocortex	Study offers clues on memory puzzle	4: Rats	1: we
05-11-021	Combustion-derived nanoparticulate induces the adverse vascular effects of diesel exhaust inhalation	Diesel particles pose heart risks	8: healthy male non-smokers and rat aortic rings	-9: 
05-11-025	A Stratified Transcriptomics Analysis of Polygenic Fat and Lean Mouse Adipose Tissues Identifies Novel Candidate Obesity Genes	Staying slim could be in the genes	4: Mice	1: People
05-11-026	The evolution of overconfidence	Why self-delusion produces winners	7: mathematical simulations	1: humans (we)
05-11-029	A Malaria Vaccine Based on the Polymorphic Block 2 Region of MSP-1 that Elicits a Broad Serotype-Spanning Immune Response	Multiple malaria vaccine developed	8: experimental animals, cells, and humans	1: those most at risk
05-11-035	Follicular dendritic cell-specific prion protein (PrPc) expression alone is sufficient to sustain prion infection in the spleen	Protein sheds insight into vCJD	4: Transgenic mice	8: VCJD / prions
05-11-036	A K(ATP) channel gene effect on sleep duration : from genome-wide association studies to function in Drosophila	Need for sleep lies in our genes	8: individuals of European ancestry and Drosophila	1: people
06-11-004	Nonstimulated early visual areas carry information about surrounding context	What our eyes cant see, the brain fills in 	1: Participants	1: Humans (our)
06-11-010	DISC1-dependent switch from progenitor proliferation to migration in the developing cortex	Potential target for treating schizophrenia found 	4: Mice	2: individuals
06-11-013	Regulation of type 17 helper T-cell function by nitric oxide during inflammation	Scientists make breakthrough in study of Autoimmune Disease	8: mice and cell cultures	1: human
06-11-020	For better or worse:  reduced adult lifespan following early-life stress is transmitted to breeding partners	Stress in early life reduces life expectancy  and that of partners	5: Taeniopygia guttata (zebra finches)	1: We
06-11-025	Espresso coffees, caffeine and chlorogenic acid intake: potential health implications	Wake-up call for coffee drinkers over caffeine toxicity 	8: Espresso coffee	1: Coffee drinkers (and people at risk of caffeine toxicity)
07-11-011	A genome-wide association study in Europeans and South Asians identifies five new loci for coronary artery disease	Study finds five new genetic variants linked to heart disease	8: DNA from Tissue samples	6: Tissue Samples
07-11-012	Linear ubiquitination prevents inflammation and regulates immune signalling	Scientists discover crucial trigger for tumour protein	4: mice	-9: 
07-11-024	A protective antiarrhythmic role of ursodeoxycholic acid in an in vitro rat model of the cholestatic fetal heart	Bear bile chemical could help keep hearts in rhythm	8: Rat in vitro fetal and mature heart models	-9: 
07-11-025	A role for sensory nerves in the late asthmatic response	Study sheds light on late phase of asthma attacks	4: Male Brown Norway rats (200e225 g) and C57BL/6J mice	1: people with asthma
07-11-033	Over-activation of plasmacytoid dendritic cell inhibits anti-viral T-cell responses: a model for HIV immunopathogenesis	Scientists disarm HIV in step towards vaccine	6: blood samples	-9: 
07-11-038	Deregulation of the serum- and glucocorticoid-inducible kinase SGK1 in the endometrium causes reproductive failure	Faulty molecular switch can cause infertility or miscarriage	8: women and mice	1: women
07-11-042	Development and Validation of a New Adenosine-Independent Index of Stenosis Severity From Coronary WaveIntensity Analysis	Improved technology may obviate need for drug when assessing patients for a coronary stent	8: iFR (for use with humans)	1: Patients 
08-11-006	A Novel Human IgA Monoclonal Antibody Protects against Tuberculosis	New TB treatment study	4: CD89tg mice	8: Experimental models
08-11-007	Mutations in NOTCH2 cause Hajdu-Cheney syndrome, a disorder of severe and progressive bone loss	Gene for osteoporosis disorder discovered	1: HCS unrelated affected individuals 	-9: 
08-11-010	PDGFR-positive cells in bone marrow are mobilized by high mobility group box 1 (HMGB1) to regenerate injured epithelia	Scientists make skin repair discovery	4: Mice	-9: 
08-11-013	Conformational changes in IgE contribute to its uniquely slow dissociation rate from receptor FcRI	New advance in asthma research	6: Human IgE molecules	1: Allergic asthmatics
08-11-016	Gain-of-Function Mutations of ARHGAP31, a Cdc42/Rac1 GTPase Regulator, Cause Syndromic Cutis Aplasia and Limb Anomalies	Genetic clue to common birth defects found	8: Mice and humans	1: Wider population
08-11-019	Human Regulatory T Cells with Alloantigen Specificity Are More Potent Inhibitors of Alloimmune Skin Graft Damage than Polyclonal Regulatory T Cells	Cell therapy to prevent organ rejection	4: Humanized mouse	1: Patients
08-11-029	Developmental stalling and organ-autonomous regulation of morphogenesis	Embryo development discovery	4: Barx1 mutant mice	1: human embryos
08-11-035	The Intraepithelial T Cell Response to NKG2D-Ligands Links Lymphoid Stress Surveillance to Atopy	Cancer protection same as allergies	4: Mice	2: The body
09-11-005	Resistance mutations define specific antiviral effects for inhibitors of the hepatitis C virus p7 ion channel	Will new drugs block hepatitis C virus in its tracks?	8: molecular model/experiments using patients	1: patients
09-11-013	Phosphorylation of the voltage-gated potassium channel Kv2.1 by AMP-activated protein kinase regulates membrane excitability	Protecting the brain when energy runs low	6: HEK293 cells	1: Patients
09-11-015	The Neurotropic Parasite Toxoplasma Gondii Increases Dopamine Metabolism	Brain parasite directly alters brain chemistry	4: Mice	1: UK's population / mammals
12-11-002	Tendon Is Covered by a Basement Membrane Epithelium That Is Required for Cell Retention and the Prevention of Adhesion Formation	Scientists reveal new insights into tendon injury	4: C57/BL6 mice	1: people
12-11-006	In Vitro Recovery of ATP-Sensitive Potassium Channels in -Cells From Patients With Congenital Hyperinsulinism of Infancy	Treatment breakthrough for rare disease linked to diabetes	8: Tissue from cadavers and human patients	1: The body
12-11-013	Muc5ac: a critical component mediating the rejection of enteric nematodes	Worm discovery could help one billion people worldwide	4: mice (wild type and various deficiencies)	1: people
12-11-015	 Doubly crosslinked pH-responsive microgels prepared by particle inter-penetration: swelling and mechanical properties 	Implant jab could solve the misery of back pain	6: DX microgels	1: society'
12-11-016	Mitogen-activated Protein Kinase Kinase 4 Deficiency in Cardiomyocytes Causes Connexin 43 Reduction and Couples Hypertrophic Signals to Ventricular Arrhythmogenesis*	Enzyme prevents fatal heart condition associated with athletes	8: rat/Mice/mathematical models 	1: athletes
12-11-018	E-Cadherin Acts as a Regulator of Transcripts Associated with a Wide Range of Cellular Processes in Mouse Embryonic Stem Cells	Stem cell study reveals complexity of glue molecules role in cancer	4: Mice	6: Protein molecule (E-cadherin)
12-11-024	Antivirals Reduce the Formation of Key Alzheimer's Disease Molecules in Cell Cultures Acutely Infected with Herpes Simplex Virus Type 1	Antiviral drugs may slow Alzheimers progression	1: cultured cells	1: people
13-11-011	COMPROMISED CDK1 ACTIVITY SENSITIZES BRCA-PROFICIENT CANCERS TO PARP INHIBITION	Breakthrough could make smart drugs effective for many cancer patients	4: mice	1: patients with cancer
13-11-017	Highly Efficient Zinc-Finger Nuclease-Mediated Disruption of an eGFP Transgene in Keratinocyte Stem Cells without Impairment of Stem Cell Properties	Scientists switch off defective genes in cure for skin blistering diseases	6: stem cells	-9: 
13-11-018	Stimulating healthy tissue regeneration by targeting the 5-HTB receptor in chronic liver disease	Manipulating serotonin can promote healthy repair in chronic liver disease	4: mice	-9: 
14-11-010	Co-directional replication-transcription conflicts lead to replication restart	Collisions of protein machines cause DNA replication derailment 	6: B. subtilis strain 168 (trp) and derivatives of strain JH642 (trp phe) 	-9: 
14-11-011	Recognition of the Major Cat Allergen Fel d 1 through the Cysteine-rich Domain of the Mannose Receptor Determines Its Allergenicity	Nottingham scientists identify trigger in cat allergy	8: MR-/- mice and Antigen-presenting Cells	1: allergy sufferers
14-11-022	Investigating the electrophysiological basis of resting state networks using magnetoencephalography	Scientists can now 'see' how different parts of our brain communicate 	1: People	1: People
